# Gene name	miRNA ID
ENSMUSG00000001065	mmu-miR-32-3p
ENSMUSG00000001065	mmu-miR-342-3p
ENSMUSG00000001065	mmu-miR-34b-5p
ENSMUSG00000001065	mmu-miR-362-3p
ENSMUSG00000001065	mmu-miR-450b-5p
ENSMUSG00000001065	mmu-miR-466d-5p
ENSMUSG00000001065	mmu-miR-466k
ENSMUSG00000001065	mmu-miR-542-3p
ENSMUSG00000001065	mmu-miR-542-5p
ENSMUSG00000001098	mmu-miR-188-3p
ENSMUSG00000001098	mmu-miR-188-5p
ENSMUSG00000001098	mmu-miR-339-3p
ENSMUSG00000001098	mmu-miR-342-3p
ENSMUSG00000001098	mmu-miR-362-3p
ENSMUSG00000001098	mmu-miR-362-5p
ENSMUSG00000001098	mmu-miR-466n-3p
ENSMUSG00000001098	mmu-miR-532-3p
ENSMUSG00000001098	mmu-miR-532-5p
ENSMUSG00000001098	mmu-miR-542-3p
ENSMUSG00000001100	mmu-miR-450b-5p
ENSMUSG00000001123	mmu-miR-188-5p
